MV迦南,#genre#
这一生最美的祝福, https://vd4.bdstatic.com/mda-qkr85nw9z8k8uydx/hd/cae_h264/1732600097751621207/mda-qkr85nw9z8k8uydx.mp4?v_from_s=bdapp-bdappcore-feed-hnb

生命的河水, https://vd4.bdstatic.com/mda-qkv4i62bkfcf5cr0/hd/cae_h264/1732936498552034570/mda-qkv4i62bkfcf5cr0.mp4?v_from_s=bdapp-bdappcore-feed-hnb

生命的河, https://vd3.bdstatic.com/mda-peqfzexbnnp1c56z/cae_h264/1685150577693566080/mda-peqfzexbnnp1c56z.mp4

唱一首天上的歌, https://vd4.bdstatic.com/mda-qi1yyz76m5euiuz5/hd/cae_h264/1725319200119210536/mda-qi1yyz76m5euiuz5.mp4

感恩的泪, https://vd4.bdstatic.com/mda-qkayzfcrbqyyu9vw/576p/h264/1731367066118860183/mda-qkayzfcrbqyyu9vw.mp4

全然向你, https://vd2.bdstatic.com/mda-qkviufavwk6sjg8g/576p/h264/1732972709260549229/mda-qkviufavwk6sjg8g.mp4

你是避风港, https://vd2.bdstatic.com/mda-qfswwx6kx8zcikzt/576p/h264/1719525003482956619/mda-qfswwx6kx8zcikzt.mp4

走在永生的路上, https://vd3.bdstatic.com/mda-qfvwk6d9dd11f752/hd/cae_h264/1719795399597254796/mda-qfvwk6d9dd11f752.mp4?v_from_s=bdapp-bdappcore-feed-hnb

回首再回首, https://vd2.bdstatic.com/mda-qddibex39mrcr2ap/576p/h264/1713099513687362552/mda-qddibex39mrcr2ap.mp4

当我想你的时候, https://vd4.bdstatic.com/mda-qdiz4bmpujyyua2b/hd/cae_h264/1713695282433307497/mda-qdiz4bmpujyyua2b.mp4

中国的早晨五点钟, https://vd3.bdstatic.com//mda-pm6itz7955kgnbpp/540p/h264_cae/1701955057610271343/mda-pm6itz7955kgnbpp.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-08T14%3A33%3A34Z%2F-1%2Fhost%2Fcad1068ce1bef5c6e7cecefec0c7a70dd4efd1056b50977786e3116ed537cdb5&pd=20&vt=0

你是我力量, https://vd2.bdstatic.com/mda-pmvywg047hyvcpku/576p/h264/1703978017538521441/mda-pmvywg047hyvcpku.mp4

赞美之泉2, https://vd3.bdstatic.com//mda-qa15a9whs8vseqgh/540p/h264_cae/1704167240658653153/mda-qa15a9whs8vseqgh.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-08T17%3A47%3A51Z%2F-1%2Fhost%2F861f2ccf6673602e7ccb7ec26f8c59628c630c78edc373e649325285b0140a40&pd=20&vt=1

赞美诗歌<<赞赞美之泉>>, https://vd2.bdstatic.com/mda-qcj7f2i0sbz3n2j5/576p/h264/1710911826638834558/mda-qcj7f2i0sbz3n2j5.mp4?v_from_s=bdapp-resbox-zan-hna

一路走来, https://vd2.bdstatic.com/mda-qdpy0crvf3b96f0e/hd/cae_h264/1714101126866126361/mda-qdpy0crvf3b96f0e.mp4

常常喜乐, https://vd3.bdstatic.com/mda-qet1i2qk6ek98ygz/hd/cae_h264/1716933711464662188/mda-qet1i2qk6ek98ygz.mp4

有一天, https://vd2.bdstatic.com/mda-qa0dc9tzujstcj6d/576p/h264/1704101312680241907/mda-qa0dc9tzujstcj6d.mp4?v_from_s=bdapp-resbox-zan-hna

爱喜乐生M, https://vd2.bdstatic.com/mda-qa1579y22t908ii2/hd/cae_h264/1704167634522475197/mda-qa1579y22t908ii2.mp4

<<一颗谦卑的心>>, https://vd3.bdstatic.com/mda-qa1xw9fmqjcdjhqc/hd/cae_h264/1704234974372749299/mda-qa1xw9fmqjcdjhqc.mp4

除你以外, https://vd2.bdstatic.com/mda-qgi5szf9qc0qnxkm/576p/h264/1721361992409728023/mda-qgi5szf9qc0qnxkm.mp4

云上太阳, https://vd2.bdstatic.com/mda-pgfgqujn6k9ye04h/hd/cae_h264/1689649849593404619/mda-pgfgqujn6k9ye04h.mp4

没有人与你相比, https://vd2.bdstatic.com/mda-pgs5pqc42jwxbdju/576p/h264/1690430617029950477/mda-pgs5pqc42jwxbdju.mp4

全然向你, https://vd4.bdstatic.com/mda-pgq4mb8mgte7j3uf/576p/h264/1690255007807862540/mda-pgq4mb8mgte7j3uf.mp4?v_from_s=bdapp-resbox-zan-hna

除你以外, https://vd3.bdstatic.com/mda-pifyr78rm5a3v92v/576p/h264/1694905661358644078/mda-pifyr78rm5a3v92v.mp4

因为你, https://vd2.bdstatic.com/mda-pcn876nhb2djdr1b/360p/h264/1679550713447010795/mda-pcn876nhb2djdr1b.mp4

最美的贡献, https://vd3.bdstatic.com/mda-qfe2qifg7nv4cuie/576p/h264/1718416610765991129/mda-qfe2qifg7nv4cuie.mp4

你扶持我, https://vd4.bdstatic.com/mda-qie9ai8fx3ss8daq/576p/h264/1726382087864393198/mda-qie9ai8fx3ss8daq.mp4

天国之路, https://vd2.bdstatic.com/mda-qm2d4ui347xgrjjv/hd/cae_h264/1733217599119595621/mda-qm2d4ui347xgrjjv.mp4

新的一年宣告, https://vd4.bdstatic.com/mda-qmhxknqmuht7bmvm/576p/h264/1734560364227483603/mda-qmhxknqmuht7bmvm.mp4

如果, https://vd2.bdstatic.com/mda-qkharh7b4rp3v94q/hd/cae_h264/1731918141487297573/mda-qkharh7b4rp3v94q.mp4

我今天为你祝福, https://vd3.bdstatic.com/mda-qkuigtc06dwcdsfv/hd/cae_h264/1732885519033567007/mda-qkuigtc06dwcdsfv.mp4

耶稣领我歌, https://vd3.bdstatic.com/mda-qkehx3rxeuv8xv6e/hd/cae_h264/1731676404464428239/mda-qkehx3rxeuv8xv6e.mp4?v_from_s=bdapp-bdappcore-feed-hna
《最远的你是我最近的爱》, https://vdse.bdstatic.com//3c3d273b65e94235c922b8eff35d9bfb.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-03-11T11%3A36%3A52Z%2F-1%2Fhost%2F79d962914e06ff5e54c3423484d57b9c2bbd2608a3f8a884c7011900e51571fb
之到主耶稣再来的时候,https://vd3.bdstatic.com/mda-qkufaqejbusp7djj/720p/bd265_cae_roi_v7/1732879410358260921/mda-qkufaqejbusp7djj.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=3976656984&s_score=6.451200&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=16868340880131784217&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=44880130bdf03186&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=0&traceid=D7275143-AD096E3626B-BD-44880130bdf03186&tasktype=4
我今天为你祝福,https://vd3.bdstatic.com/mda-qkuigtc06dwcdsfv/720p/bd265_cae_roi_v7/1732886118343665789/mda-qkuigtc06dwcdsfv.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=3976656984&s_score=6.311700&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=8870023341908617181&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=cb7da19207663169&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=99&traceid=D7275143-AD0021C2C10-95-cb7da19207663169&tasktype=4
主我愿跟随你,https://vd3.bdstatic.com/mda-qki818x06hj1utea/720p/bd265_cae_visr_v7/1732004550082475125/mda-qki818x06hj1utea.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=2791740151&s_score=5.550500&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=14644110834243278890&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=d6e26a6378ddafa4&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=122&traceid=D7275143-AD03B75ADDD-3C-d6e26a6378ddafa4&tasktype=4
流浪谷中有恩典,https://vd3.bdstatic.com/mda-qkrwjtxp04iivfna/720p/bd265_cae_roi_v7/1732657858270348840/mda-qkrwjtxp04iivfna.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=4001011041&s_score=7.108600&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=8425345441179549500&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=cd99883dafb4af19&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=107&traceid=D7275143-AD0683A6090-8D-cd99883dafb4af19&tasktype=4
数算神的恩典,https://vd3.bdstatic.com/mda-qm1ff12j5dkhdz5m/360p/bd265_cae_roi_v7/1733170128541849236/mda-qm1ff12j5dkhdz5m.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=2531420750&s_score=5.849600&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=6478084212515575663&pd=0&pt=1&av=15.0.0.10&cr=0&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=bccafa465e72e6ca&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=107&traceid=D7275143-AD0E1861393-BC-bccafa465e72e6ca&tasktype=4
怎能忘记,https://vd3.bdstatic.com/mda-qmsxpy8wg0icyxtj/720p/bd265_cae_roi_v7/1735388111840404255/mda-qmsxpy8wg0icyxtj.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=2443647638&s_score=5.859300&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=8025834108810848452&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5&kpdl=0&h265_m=1&klogid=6c64d6ee191ea38f&kapid=0&psp=1&neq=1&cdn_speed=16384000&psk=0&qtfc=0&qtut=56&traceid=D7275143-AD01689C4A6-19-6c64d6ee191ea38f&tasktype=4
█████████████████████████████████████████████
妈妈的吻, https://vdse.bdstatic.com//24d57678c5a042acb640ffa8496704f9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-03-11T00%3A43%3A56Z%2F-1%2Fhost%2F0884a9117d03f2a974bf188aca774b4ab5c11933a69f22f6e0098515420ced7f
爱拼才会赢, https://vd2.bdstatic.com/mda-qad8n4reg54x4eag/hd/cae_h264/1705213267901545307/mda-qad8n4reg54x4eag.mp4
九月九的酒, https://vd4.bdstatic.com/mda-qafd6ssxyhgaqaw1/576p/h264/1705396921964920449/mda-qafd6ssxyhgaqaw1.mp4?v_from_s=bdapp-bdappcore-feed-hna
佳木斯广场舞 no1号, https://vdse.bdstatic.com//52330ad4888b6bd00c5d2466088901bf.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-13T18%3A30%3A58Z%2F-1%2Fhost%2F86ab734adda7b8aa8a2364fc73e027b32a527e3a1a2da3c93a66b3c5859697e0
佳木斯广场舞 no2, https://vd4.bdstatic.com/mda-ma0as59h4t444j85/v2-hknm/mda-ma0as59h4t444j85.mp4

佳木斯广场舞 no3, https://vdse.bdstatic.com//c647a49019beca6b6b429ae7189c4a60.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-13T16%3A48%3A52Z%2F-1%2Fhost%2F7cc45cb000055ea42956088dcab65c4572e66999d97dd0acb4bb890db08ca886

佳木斯广场舞几节❓, https://vdse.bdstatic.com//8b98560b96dea11dd03367fa59b6bc11.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-13T13%3A28%3A58Z%2F-1%2Fhost%2F7b93ac214f3b761c691bb43bbdbd0e7a3bf2299503dadd0bff9533d324ced30b
██████████████████████████████████████████
别知己, https://vd3.bdstatic.com//mda-pm0ib8h3jt3xp7c6/540p/h264_cae/1701435543341538571/mda-pm0ib8h3jt3xp7c6.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-03-14T20%3A25%3A34Z%2F-1%2Fhost%2Fa70f7d5114df912ccdf5e98683410803056fdc7f356ceff99cf39d14dfe33f16&pd=20&vt=1
刀朗 我真怕自己哪天倒下, https://vd4.bdstatic.com/mda-qmnchm1n5p32qjtu/hd/cae_h264/1734944545475324177/mda-qmnchm1n5p32qjtu.mp4
海来阿木, https://vd4.bdstatic.com/mda-pcg49a4hu9q1dxtr/360p/h264/1679022155538826460/mda-pcg49a4hu9q1dxtr.mp4
《我真怕自己哪天倒下》, https://vd3.bdstatic.com/mda-qiugp6b97hc571z6/hd/cae_h264/1727610507590073101/mda-qiugp6b97hc571z6.mp4
阿木, https://vd4.bdstatic.com/mda-rbce2ift1045v6w6/576p/h264/1739441110547472354/mda-rbce2ift1045v6w6.mp4?v_from_s=bdapp-bdappcore-feed-hnb
别和过去过不去, https://vdse.bdstatic.com//3b6f777e5cd2936e8cd1b15ddd5c0ef4.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-19T02%3A13%3A39Z%2F-1%2Fhost%2F7fda479a0959b02c4513077479aa3d212c271cdaf11e257ad732af5301d2812f
最远的你是我最近的爱, https://vdse.bdstatic.com//81f534d1063f0da7611492e9bb2a5028.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-03-11T13%3A07%3A30Z%2F-1%2Fhost%2F1076bc8832f0059e90d330f0aaa1f943d3ae5f822668138b5f408f4c71fc469d
爱情就象一陈风, https://vdse.bdstatic.com//be3b267c7b2deb6ed78361297c482d01.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-25T12%3A00%3A57Z%2F-1%2Fhost%2Fada37b7206878df4b0e1d981db94bd44f4d04c7bbdf06027d3a96d9f5bea04c3
红尘情歌, https://vd2.bdstatic.com/mda-njdcm20izcvgmayq/cae_h264/1665738610459433883/mda-njdcm20izcvgmayq.mp4
别和过去过不去2, https://vd2.bdstatic.com/mda-pb1bxk1xem8963ti/360p/h264/1675326446058525544/mda-pb1bxk1xem8963ti.mp4
碎银几两, https://vd2.bdstatic.com/mda-nhakg8kruuwwyfap/360p/h264/1660228398553055611/mda-nhakg8kruuwwyfap.mp4
忘情水, https://vd3.bdstatic.com/mda-qfkhf9w69y4c5847/hd/cae_h264/1718973506763500791/mda-qfkhf9w69y4c5847.mp4
故乡的云, https://vd3.bdstatic.com/mda-qibnburn4c6fj0rv/hd/cae_h264/1726182580380500058/mda-qibnburn4c6fj0rv.mp4
别知己DJ, https://vd2.bdstatic.com/mda-mcmwf5kbq69f765u/mda-mcmwf5kbq69f765u.mp4
我不想说, https://vd2.bdstatic.com/mda-qjw8gx6sut75v2bk/hd/cae_h264/1730356177135444050/mda-qjw8gx6sut75v2bk.mp4
风中有朵雨做的云, https://vd2.bdstatic.com/mda-qjwkyhed1783r92x/hd/cae_h264/1730415726340435804/mda-qjwkyhed1783r92x.mp4
潇洒走一回, https://vd2.bdstatic.com/mda-qk98b03fgfahkra3/hd/cae_h264/1731218445955034500/mda-qk98b03fgfahkra3.mp4
来生缘, https://vd3.bdstatic.com/mda-qfqzzxcuknp9j1zm/hd/cae_h264/1719364247115688124/mda-qfqzzxcuknp9j1zm.mp4
大约在冬季, https://vd2.bdstatic.com/mda-qg5ncb1q84hrqf99/hd/cae_h264/1720307603463237526/mda-qg5ncb1q84hrqf99.mp4
冬季到台北来看雨, https://vd2.bdstatic.com/mda-qg8afgsxxnsgskgf/hd/cae_h264/1720519178767445232/mda-qg8afgsxxnsgskgf.mp4
刀朗2002年的第一场雪, https://vd3.bdstatic.com/mda-qga6pvh1v5ar9bb1/hd/cae_h264/1720673679388658184/mda-qga6pvh1v5ar9bb1.mp4
流浪歌, https://vd2.bdstatic.com/mda-pj3awpgq7win3nns/hd/cae_h264/1696408655031716066/mda-pj3awpgq7win3nns.mp4
上海滩, https://vd2.bdstatic.com/mda-pkh6i5bpcnun1n5u/hd/cae_h264/1700305230683438468/mda-pkh6i5bpcnun1n5u.mp4
恭喜发财, https://vd3.bdstatic.com/mda-qb68b11c1kirtu2u/576p/h264/1707285194815158108/mda-qb68b11c1kirtu2u.mp4
月亮月亮你别睡, https://vd2.bdstatic.com/mda-qfnx1dfr74rjp31g/hd/cae_h264/1719185430853757859/mda-qfnx1dfr74rjp31g.mp4
海来阿木, https://vd4.bdstatic.com/mda-rbce2ift1045v6w6/576p/h264/1739441110547472354/mda-rbce2ift1045v6w6.mp4?v_from_s=bdapp-bdappcore-feed-hnb
车载音乐, https://vdse.bdstatic.com//d1319db6161a30c95f08ceb6d79604f3.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-03-16T02%3A58%3A03Z%2F-1%2Fhost%2F50c1d88cceef3526c2403fdebf518f801173aa78e1883a3c2f0bf3f6b5e0c3d9
别知已, https://vd4.bdstatic.com/mda-pec2un43myrjh9wr/cae_h264/1684099951873768146/mda-pec2un43myrjh9wr.mp4
周杰伦十大巅峰, https://vd4.bdstatic.com/mda-qkidh5j1aii8fvkz/576p/h264/1732009292296386147/mda-qkidh5j1aii8fvkz.mp4
王杰, https://vd4.bdstatic.com/mda-qkdd87ggaww0n4t9/576p/h264/1731576648107960701/mda-qkdd87ggaww0n4t9.mp4
姜育恒, https://vd3.bdstatic.com/mda-ra9ajiuxw8r2b910/576p/h264/1736494694672996713/mda-ra9ajiuxw8r2b910.mp4?v_from_s=bdapp-bdappcore-feed-hnb
心在跳情在烧, https://vd2.bdstatic.com/mda-qg8negrr83g0ss8h/hd/cae_h264/1720540379207352204/mda-qg8negrr83g0ss8h.mp4
手心里的温柔, https://vd4.bdstatic.com/mda-qgan9yfg2y2my731/hd/cae_h264/1720712905179900189/mda-qgan9yfg2y2my731.mp4
刀朗西海情歌, https://vd2.bdstatic.com/mda-qfjmfvkqzdvf6j0i/576p/h264/1718896322047081432/mda-qfjmfvkqzdvf6j0i.mp4
众明星恭喜发财, https://vd2.bdstatic.com/mda-qbrjttqqyksrdda8/576p/h264/1708955990708465985/mda-qbrjttqqyksrdda8.mp4
万事如意, https://vd2.bdstatic.com/mda-qbeciet74acge82w/576p/h264/1707987101516071513/mda-qbeciet74acge82w.mp4
踏浪, https://vd4.bdstatic.com/mda-rc3ipv8yn82pd33t/576p/h264/1741093978863287385/mda-rc3ipv8yn82pd33t.mp4
九百九十九朵玫瑰, https://vd2.bdstatic.com/mda-rbd1ri36xar5bjxn/hd/cae_h264/1739495805642304670/mda-rbd1ri36xar5bjxn.mp4
把悲伤留给自己, https://vd2.bdstatic.com/mda-rcc363m96058jewn/hd/cae_h264/1741832914372008612/mda-rcc363m96058jewn.mp4
红尘情歌, https://vd2.bdstatic.com/mda-njdcm20izcvgmayq/cae_h264/1665738610459433883/mda-njdcm20izcvgmayq.mp4?v_from_s=bdapp-resbox-zan-hna
风中有朵雨中的云, https://vd4.bdstatic.com/mda-paccmtabhecvhw1k/360p/h264/1673600213101157025/mda-paccmtabhecvhw1k.mp4
月亮月亮你别睡, https://vd2.bdstatic.com/mda-nfqgc6q797pk22w1/360p/h264/1656156930876360049/mda-nfqgc6q797pk22w1.mp4?v_from_s=bdapp-resbox-zan-hna
酒醉的蝴蝶, https://vd3.bdstatic.com/mda-qhkawityrqy54fqz/hd/cae_h264/1724371282794267613/mda-qhkawityrqy54fqz.mp4
别知己, https://vd3.bdstatic.com/mda-raa2r7qacx40wti0/hd/cae_h264/1736562653901497081/mda-raa2r7qacx40wti0.mp4
谁能配我到最后, https://vd4.bdstatic.com/mda-qedcjguxmijkrvdb/hd/cae_h264/1715764165218426569/mda-qedcjguxmijkrvdb.mp4
如果爱还在, https://vd3.bdstatic.com//mda-pdj78u0u7famkx41/540p/h264_cae/1681967847527749701/mda-pdj78u0u7famkx41.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-05-06T04%3A06%3A17Z%2F-1%2Fhost%2F7d71cab6d64f98eb175a41b889eaa3736f509674ac2dffddce1b06867a1cde8c&pd=20&vt=1
搀扶,https://vd2.bdstatic.com/mda-ra9cu8jke2r9wj7d/576p/h264/1736499945033436694/mda-ra9cu8jke2r9wj7d.mp4
《酒干倘卖无》DJ版, https://vd3.bdstatic.com//mda-rccbx01fr638eddw/540p/h264_cae/1741854272655799267/mda-rccbx01fr638eddw.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-04-19T04%3A03%3A08Z%2F-1%2Fhost%2Fde45ccdbbc9008dfe3d8907c5a0d4a3d0a507202fcd394f0b4c904ebf1f1a6e5&pd=20&vt=1
放手,https://vd3.bdstatic.com/mda-qm1xcbpviyqbezct/720p/bd265_cae_roi_v7/1733177977708061131/mda-qm1xcbpviyqbezct.mp4?cd=1&hit_bd265_src=1&vt=1&svt=1&cr_max=2&h265_s=1&did=509a19406778cb49989e13236bbfb91a&logid=2236363297&s_score=6.329500&bcevod_channel=searchbox_feed&mpd=1&mvt=1&scene=3&vid=11090733594029545993&pd=0&pt=1&av=15.0.0.10&cr=2&sle=0&abtest=137903_1&ds_stc=1.1990&pdx=1&nt=1&dt=1&scenex=T_2_5_2&kpdl=0&h265_m=1&klogid=d9c63e4b8b32ea78&kapid=0&psp=1&neq=1&cdn_speed=32768000&psk=0&qtfc=0&qtut=139&traceid=D7275143-AD0D3B63299-B6-d9c63e4b8b32ea78&tasktype=4
不能不想你, https://vd2.bdstatic.com/mda-rctgchys5b42jwx9/hd/cae_h264/1743161961892993142/mda-rctgchys5b42jwx9.mp4
《酒干倘卖无》, https://vd4.bdstatic.com/mda-nmb5cpdhxs6b67xp/360p/h264/1670817037697019664/mda-nmb5cpdhxs6b67xp.mp4
你是我的城堡, https://vd3.bdstatic.com/mda-rbg24nsxj4s20jf0/hd/cae_h264/1739756050644528325/mda-rbg24nsxj4s20jf0.mp4
